article_name,country,revision_id,population,article_quality
Delwa Kassiré Koumakoye,chad,801029539,15.4,C
Fidèle Moungar,chad,801192255,15.4,C
Jean Alingué Bawoyeu,chad,801192303,15.4,B
Emmanuel Nadingar,chad,801573576,15.4,C
Roger Djikisna,chad,801583221,15.4,Stub
Firmin Djidingar,chad,801583260,15.4,Stub
Idris I of Kanem,chad,802874918,15.4,Stub
Vice President of Chad,chad,803166509,15.4,Stub
Hissène Habré,chad,803166806,15.4,GA
Negue Djogo,chad,803166989,15.4,Start
Wadel Abdelkader Kamougué,chad,803167152,15.4,C
Félix Malloum,chad,803167336,15.4,Start
Lol Mahamat Choua,chad,803167424,15.4,C
Goukouni Oueddei,chad,803167990,15.4,C
Albert Pahimi Padacké,chad,803433107,15.4,C
List of heads of state of Chad,chad,803812011,15.4,Start
Elise Loum,chad,804773540,15.4,Start
Agnes Allafi,chad,805493169,15.4,Start
Christine Georges Diguibaye,chad,806337653,15.4,Stub
Pascal Yoadimnadji,chad,806508985,15.4,Start
Aissa Koli,chad,806616268,15.4,Start
Omar I of Kanem,chad,807425129,15.4,Start
Template:Zimbabwe-politician-stub,zimbabwe,391862046,14,Stub
Template:Zimbabwe-mayor-stub,zimbabwe,444767985,14,Stub
Jabulani Dube,zimbabwe,645408814,14,Stub
Fletcher Dulini,zimbabwe,669981316,14,Stub
Leopold Takawira,zimbabwe,710060929,14,Start
Tinos Rusere,zimbabwe,710524880,14,Start
Gift Tandare,zimbabwe,710615823,14,Stub
Engelbert Rugeje,zimbabwe,711448400,14,Start
Max Mnkandla,zimbabwe,711509855,14,Stub
Lovemore Matombo,zimbabwe,711958194,14,Stub
Alfred Nikita Mangena,zimbabwe,712004487,14,Stub
Simbi Mubako,zimbabwe,713121927,14,Stub
Nicholas Kiti kiti,zimbabwe,713308132,14,Stub
Aleck Gumbo,zimbabwe,713580662,14,Stub
Jabulani Sibanda,zimbabwe,713618917,14,Start
Cain Mathema,zimbabwe,713726531,14,Stub
Patrick Kombayi,zimbabwe,713740128,14,Stub
Langton Towungana,zimbabwe,713899377,14,Stub
Eric Matinenga,zimbabwe,714455111,14,Stub
Emmanuel Chiroto,zimbabwe,714535045,14,Stub
Muchadeyi Masunda,zimbabwe,714706533,14,C
David Butau,zimbabwe,714967769,14,Stub
Thompson Samkange,zimbabwe,715131189,14,Stub
Nomalanga Khumalo,zimbabwe,715183334,14,Stub
Henry Dzinotyiweyi,zimbabwe,715867004,14,Stub
Edward Raradza,zimbabwe,716017725,14,Stub
Rekayi Tangwena,zimbabwe,716669163,14,Stub
Sibonile Nyamudeza,zimbabwe,717380254,14,Stub
Misheck Kagurabadza,zimbabwe,720008799,14,Stub
Morgan Femai,zimbabwe,721674926,14,Stub
Bybit Lydia Tsomondo,zimbabwe,723082034,14,Stub
Kisinoti Mukwazhe,zimbabwe,723353282,14,Stub
David Karimanzira,zimbabwe,725242133,14,Stub
Sobusa Gula-Ndebele,zimbabwe,726651867,14,Stub
Sylvester Nguni,zimbabwe,726686195,14,Stub
Thamsanqa Mahlangu,zimbabwe,726687480,14,Stub
Tichaona Mudzingwa,zimbabwe,726687648,14,Stub
Murisi Zwizwai,zimbabwe,726687669,14,Stub
Samuel Undenge,zimbabwe,726688144,14,Stub
Reuben Marumahoko,zimbabwe,726688205,14,Stub
Simon Khaya-Moyo,zimbabwe,730764918,14,Stub
"List of candidates in the Zimbabwean parliamentary election, 2013",zimbabwe,735498335,14,B
Jevan Maseko,zimbabwe,736911246,14,Stub
Munacho Mutezo,zimbabwe,738729779,14,Stub
Sesel Zvidzai,zimbabwe,738810400,14,Stub
Samuel Sipepa Nkomo,zimbabwe,738992625,14,Stub
Faber Chidarikire,zimbabwe,738992871,14,Start
Willard Chiwewe,zimbabwe,738992910,14,Stub
Martin Dinha,zimbabwe,738992918,14,Stub
Herbert Ushewokunze,zimbabwe,739137894,14,Stub
Nyasha Chikwinya,zimbabwe,742899761,14,Start
Naomi Nhiwatiwa,zimbabwe,743971092,14,Start
Bright Matonga,zimbabwe,744753863,14,Stub
Thokozani Khuphe,zimbabwe,747274193,14,Start
Border Gezi,zimbabwe,748061603,14,Start
Rugare Gumbo,zimbabwe,749496266,14,Start
George Nyandoro,zimbabwe,750224976,14,Start
Paul Chimedza,zimbabwe,750428952,14,Stub
Gorden Moyo,zimbabwe,750974704,14,Stub
Daniel Shumba,zimbabwe,753294248,14,Start
Douglas Mombeshora,zimbabwe,755110125,14,Stub
Munyaradzi Gwisai,zimbabwe,755337199,14,Start
Olivia Muchena,zimbabwe,757616307,14,Start
Paurine Mpariwa,zimbabwe,757616437,14,Stub
Sithembiso Nyoni,zimbabwe,757617613,14,Stub
Earnest Mudzengi,zimbabwe,757796569,14,Stub
Gift Banda,zimbabwe,758442662,14,Stub
Wilson Kumbula,zimbabwe,759330558,14,Stub
Paurina Mpariwa,zimbabwe,760532029,14,Stub
Flora Buka,zimbabwe,762630896,14,Stub
Elliot Manyika,zimbabwe,763330074,14,Start
Diana Mitchell,zimbabwe,764299725,14,Start
Maurice Nyagumbo,zimbabwe,764826793,14,Start
Josiah Zion Gumede,zimbabwe,765095810,14,Start
Edson Zvobgo,zimbabwe,767922311,14,Start
Felix Magalela Mafa Sibanda,zimbabwe,769519957,14,C
Tracy Mutinhiri,zimbabwe,769876632,14,Stub
Kayisa Ndiweni,zimbabwe,771958995,14,Stub
Enoch Dumbutshena,zimbabwe,774026217,14,Stub
Hubert Nyanhongo,zimbabwe,774061307,14,Stub
James Chikerema,zimbabwe,775935799,14,C
Victoria Chitepo,zimbabwe,776389556,14,Start
Joel Gabuza,zimbabwe,776840034,14,Stub
Trudy Stevenson,zimbabwe,776943338,14,Start
Joram Gumbo,zimbabwe,777424335,14,Stub
Joseph Chinotimba,zimbabwe,777482252,14,C
Nkululeko Sibanda,zimbabwe,777623864,14,Start
Janet Banana,zimbabwe,777849777,14,Stub
Lazarus Dokora,zimbabwe,780062778,14,Stub
Lutho Tapela,zimbabwe,782607746,14,Stub
Moven Mahachi,zimbabwe,783298283,14,Stub
Margaret Dongo,zimbabwe,783419906,14,Start
Sekai Holland,zimbabwe,783637102,14,C
George Chiweshe,zimbabwe,783919896,14,Start
Josiah Mushore Chinamano,zimbabwe,784396785,14,Stub
Michael Bimha,zimbabwe,784668448,14,Stub
Josiah Tongogara,zimbabwe,786913202,14,C
Naison Ndlovu,zimbabwe,787854175,14,Stub
Enos Mdlongwa,zimbabwe,787854640,14,Stub
Lindiwe Majele Sibanda,zimbabwe,788247480,14,Start
Ndabaningi Sithole,zimbabwe,788291899,14,C
Ambrose Mutinhiri,zimbabwe,788777043,14,Stub
Judith Todd,zimbabwe,788792548,14,Start
Andrew Langa,zimbabwe,789094827,14,Stub
Christopher Kuruneri,zimbabwe,789427326,14,Start
Priscilla Misihairabwi-Mushonga,zimbabwe,789545114,14,Stub
Swithun Mombeshora,zimbabwe,789545179,14,Stub
Oppah Muchinguri,zimbabwe,789545185,14,Stub
Samuel Mumbengegwi,zimbabwe,789545206,14,Start
Chris Mushohwe,zimbabwe,789545212,14,Stub
Giles Mutsekwa,zimbabwe,789545214,14,Start
Francis Nhema,zimbabwe,789545220,14,Stub
Mike Nyambuya,zimbabwe,789545233,14,Stub
Solomon Mujuru,zimbabwe,789898624,14,C
Ronald Penza,zimbabwe,789948565,14,Stub
Joseph Made,zimbabwe,789965571,14,Start
Evelyn Masaiti,zimbabwe,790034879,14,Stub
Jessie Majome,zimbabwe,790035057,14,Start
Theresa Makoni,zimbabwe,790423262,14,Stub
List of Presidents of the Senate of Zimbabwe,zimbabwe,791068367,14,Stub
Blessing Chebundo,zimbabwe,791690130,14,Start
George Charamba,zimbabwe,793738070,14,Start
Chenhanho Chimutengwende,zimbabwe,793820850,14,Stub
Simon Muzenda,zimbabwe,794934380,14,Start
Witness Mangwende,zimbabwe,794934451,14,Stub
Nathan Shamuyarira,zimbabwe,794934469,14,C
Joseph Makamba Busha,zimbabwe,795007156,14,Start
Walter Chidakwa,zimbabwe,795247525,14,Stub
Maxwell Zeb Shumba,zimbabwe,795637625,14,Start
Henry Madzorera,zimbabwe,795846349,14,Stub
First Lady of Zimbabwe,zimbabwe,796477244,14,Stub
Charles Shanyurai Majange,zimbabwe,796608492,14,Stub
Elleck Mashingaidze,zimbabwe,796726442,14,Stub
Phillip Chiyangwa,zimbabwe,797170378,14,Start
Chenjerai Hunzvi,zimbabwe,797225827,14,C
Edward Chindori-Chininga,zimbabwe,797414978,14,Start
Arthur Mutambara,zimbabwe,797932659,14,C
Edgar Tekere,zimbabwe,798106157,14,C
Psychology Maziwisa,zimbabwe,798140615,14,C
Isaac Matongo,zimbabwe,798248963,14,Stub
Julia Tukai Zvobgo,zimbabwe,798468363,14,Start
Jameson Timba,zimbabwe,799326094,14,Stub
Ben Ncube,zimbabwe,799405378,14,Stub
Obedingwa Mguni,zimbabwe,799406056,14,Stub
Denis Norman,zimbabwe,799605293,14,Start
Japhet Ndabeni Ncube,zimbabwe,800407734,14,Stub
Nicholas Mabodoko,zimbabwe,800407872,14,Stub
Fay Chung,zimbabwe,800705666,14,B
Alfred Makwarimba,zimbabwe,801370822,14,Stub
Elphas Mukonoweshuro,zimbabwe,801488585,14,Stub
Elton Mangoma,zimbabwe,801497420,14,Start
Edna Madzongwe,zimbabwe,802259324,14,Start
Fidelis Mhashu,zimbabwe,803084855,14,Stub
Promise Mkwananzi,zimbabwe,803579259,14,Start
Saviour Kasukuwere,zimbabwe,804677245,14,Start
Walter Mzembi,zimbabwe,804678140,14,Stub
Kembo Mohadi,zimbabwe,804811059,14,Start
Learnmore Jongwe,zimbabwe,804844902,14,Start
Lovemore Madhuku,zimbabwe,804895632,14,C
List of Finance Ministers of Zimbabwe,zimbabwe,804914333,14,Stub
Joice Mujuru,zimbabwe,805993308,14,C
Ignatious Chombo,zimbabwe,806656210,14,Start
Robert Mugabe,zimbabwe,806814411,14,FA
Tichafa Samuel Parirenyatwa,zimbabwe,807159774,14,C
Guy Georgias,zimbabwe,807196681,14,C
Grace Mugabe,zimbabwe,807337237,14,GA
Guy Clutton-Brock,zimbabwe,807442408,14,Start
Template:Uganda-politician-stub,uganda,391862070,44.1,Stub
Template:Uganda-mayor-stub,uganda,444767727,44.1,Stub
Yosia Nadiope of Busoga,uganda,655390291,44.1,Stub
Patrick Mutono,uganda,684295893,44.1,Stub
Stanislaus Okurut,uganda,689614169,44.1,Stub
Charles Oboth Ofumbi,uganda,693292931,44.1,Start
Pumla Kisosonkole,uganda,693388584,44.1,Start
Francis K. Butagira,uganda,707473503,44.1,Start
Otema Allimadi,uganda,708054598,44.1,Stub
Omwony Ojwok,uganda,713020154,44.1,Stub
Jachan Mandir Omach,uganda,715433158,44.1,Stub
Onegi Obel,uganda,717146307,44.1,Start
Saleh Kamba,uganda,720059752,44.1,Stub
John Kabaireho,uganda,723957779,44.1,Stub
Tete Chelangat,uganda,724554948,44.1,Stub
Sarah Kanyike,uganda,725742962,44.1,Start
Gagawala Wambuzi,uganda,726767754,44.1,Stub
Julius Wandera Maganda,uganda,726918511,44.1,Stub
Haruna Kasolo Kyeyune,uganda,726919678,44.1,Stub
Yabezi Kiiza,uganda,736273855,44.1,Stub
Semei Kakungulu,uganda,737799048,44.1,C
Abu Mayanja,uganda,746946728,44.1,C
Daniel Kidega,uganda,753278613,44.1,Start
Eng Abner Nangwale,uganda,756457100,44.1,Stub
Yowabu Magada Kawaluuko,uganda,757388522,44.1,Start
Grace Kwiyucwiny,uganda,757563021,44.1,Start
Mary Goretti Kitutu,uganda,757615490,44.1,Start
Rukiya Chekamondo,uganda,757616921,44.1,Start
Sezi Mbaguta,uganda,757617202,44.1,Start
Frederick Ngobi Gume,uganda,758395750,44.1,Stub
Rosemary Seninde,uganda,758567928,44.1,Start
Gerald Ssendaula,uganda,759366517,44.1,C
Juma Oris,uganda,759378614,44.1,Stub
Godfrey Kiwanda,uganda,759877869,44.1,Stub
Geoffrey Onegi Obel,uganda,760056661,44.1,Start
Tom Butime,uganda,760181848,44.1,Start
Dennis Galabuzi Ssozi,uganda,760184747,44.1,Start
Ken Lukyamuzi,uganda,763247419,44.1,Stub
Victoria Sekitoleko,uganda,766481345,44.1,C
Emmanuel Otala,uganda,766665157,44.1,Start
Kabakumba Masiko,uganda,770316807,44.1,C
Innocent Oula,uganda,771724283,44.1,Start
Isaac Mulindwa,uganda,773245217,44.1,Start
Hope Mwesigye,uganda,773870932,44.1,Start
Katikkiro of Buganda,uganda,774683767,44.1,Stub
Daudi Cwa II of Buganda,uganda,774683907,44.1,Start
Ssuuna II of Buganda,uganda,774684052,44.1,Start
Kamaanya of Buganda,uganda,774684080,44.1,Start
Semakookiro of Buganda,uganda,774684109,44.1,Start
Jjunju of Buganda,uganda,774684124,44.1,Start
Kato Kintu,uganda,774684195,44.1,Stub
Chwa I of Buganda,uganda,774684228,44.1,Start
Kyabaggu of Buganda,uganda,774830237,44.1,Start
Kiweewa of Buganda,uganda,774831268,44.1,Start
Ismael Orot,uganda,775522497,44.1,Stub
James Obita,uganda,775995921,44.1,Stub
Janat Mukwaya,uganda,776107670,44.1,Start
Besueri Kiwanuka Lusse Mulondo,uganda,776344991,44.1,Start
Jeremiah Twa-Twa,uganda,776491782,44.1,Start
Joyce Kakuramatsi Kikafunda,uganda,777643576,44.1,Stub
Kania Obiga,uganda,778265355,44.1,Stub
Apollo Kironde,uganda,778598971,44.1,Stub
Kibirige Mayanja,uganda,778840186,44.1,Start
Kintu Musoke,uganda,779007768,44.1,Start
Jessica Alupo,uganda,779397351,44.1,Start
Rebecca Amuge Otengo,uganda,779397437,44.1,Start
Syda Bbumba,uganda,779397532,44.1,Start
Alintuma Nsambu,uganda,781605803,44.1,Stub
Esther Mbulakubuza Mbayo,uganda,781789704,44.1,Start
Abdul Nadduli,uganda,782460126,44.1,Stub
Moses Kizige,uganda,782979760,44.1,Start
Maria Kiwanuka,uganda,783449036,44.1,Start
Elijah Mushemeza,uganda,784734768,44.1,Start
Michael Lulume Bayigga,uganda,784768216,44.1,Start
Deo Rwabiita,uganda,785038536,44.1,Stub
Daudi Ochieng,uganda,785108122,44.1,Stub
Joy Kabatsi,uganda,785339072,44.1,Start
Joshua Wanume Kibedi,uganda,785862055,44.1,C
Kizza Besigye,uganda,786081128,44.1,C
Apolo Kagwa,uganda,786226893,44.1,C
Michael Kawalya Kagwa,uganda,787306486,44.1,Stub
Abed Bwanika,uganda,787410566,44.1,Start
Aggrey Awori,uganda,787858057,44.1,C
Aggrey Bagiire,uganda,787858062,44.1,Stub
Agnes Akiror,uganda,787870163,44.1,Start
Namirembe Bitamazire,uganda,788019797,44.1,Start
Amon Bazira,uganda,788899061,44.1,Stub
Christopher Iga,uganda,788972378,44.1,Stub
Nasser Sebaggala,uganda,788972461,44.1,Start
Erias Lukwago,uganda,788972566,44.1,Start
Template:KampalaMayors,uganda,788972642,44.1,Stub
Beatrice Wabudeya,uganda,789747515,44.1,Start
Jane Aceng,uganda,789747629,44.1,C
Ruth Achieng,uganda,789747664,44.1,Stub
Justine Ayebazibwe,uganda,789748037,44.1,Stub
Jessica Eriyo,uganda,789748269,44.1,Start
Mary Karooro Okurut,uganda,789748670,44.1,Start
Adrian Tibaleka,uganda,789748752,44.1,Stub
Nusura Tiperu,uganda,789748782,44.1,Start
Florence Nakiwala Kiyingi,uganda,789748978,44.1,Start
Ruth Nankabirwa,uganda,789799593,44.1,Start
Justine Lumumba Kasule,uganda,789799605,44.1,Start
Idah Nantaba,uganda,789799744,44.1,C
Harriet Ntabazi,uganda,789799847,44.1,Start
Florence Nebanda,uganda,789799901,44.1,Start
Lukia Isanga Nakadama,uganda,789799952,44.1,Start
Mariam Nalubega,uganda,789799984,44.1,Start
Jenipher Namuyangu,uganda,789800111,44.1,C
Sarah Kataike,uganda,789800331,44.1,C
Caroline Amali Okao,uganda,789800629,44.1,Start
Beatrice Rwakimari,uganda,789803765,44.1,Stub
Mariam Naigaga,uganda,790372580,44.1,C
Rose Akol,uganda,790424964,44.1,Start
Amelia Kyambadde,uganda,790428762,44.1,Start
Jehoash Mayanja Nkangi,uganda,790837175,44.1,Start
Joash Mayanja Nkangi,uganda,790993796,44.1,C
Moses Adome,uganda,791007274,44.1,Stub
Paulson Luttamaguzi,uganda,791007297,44.1,Stub
Charles Engola,uganda,793154991,44.1,Start
Cerinah Nebanda,uganda,793515881,44.1,Start
John Ssebaana Kizito,uganda,793539141,44.1,Start
Persis Namuganza,uganda,793628029,44.1,Start
Christine Amongin Aporu,uganda,794194807,44.1,Start
Christine Ondoa,uganda,794200311,44.1,Start
Concy Aciro,uganda,795100048,44.1,Start
Peace Mutuuzo,uganda,795181968,44.1,Start
Patrick Kayemba,uganda,795404749,44.1,Stub
Alengot Oromait,uganda,795458281,44.1,Start
Beti Kamya-Turwomwe,uganda,796177970,44.1,C
Abdu Katuntu,uganda,796406864,44.1,Stub
Loyce Biira Bwambale,uganda,796684047,44.1,Start
Mike Kennedy Sebalu,uganda,796694225,44.1,Stub
Miria Matembe,uganda,796695675,44.1,Start
Kalema of Buganda,uganda,796808819,44.1,Start
Maria Mutagamba,uganda,796899099,44.1,Start
Sarah Achieng Opendi,uganda,796991691,44.1,Start
Benedicto Kiwanuka,uganda,797399615,44.1,Start
Yusuf Lule,uganda,797449179,44.1,Start
Miria Obote,uganda,797874277,44.1,Stub
Grace Akello,uganda,798483499,44.1,Start
Joyce Moriku,uganda,798506935,44.1,Start
David Karubanga,uganda,799178559,44.1,Stub
Peter Takirambudde,uganda,799513148,44.1,Stub
Mustafa Adrisi,uganda,799651351,44.1,Stub
Rose Namayanja,uganda,800003733,44.1,C
Timeline of Kampala,uganda,800090136,44.1,C
Dora Byamukama,uganda,800350710,44.1,Stub
Kirya Balaki Kebba,uganda,800452152,44.1,C
Ismail Ogama,uganda,800595514,44.1,Stub
Kassiano Wadri,uganda,800595577,44.1,Stub
Abraham Waligo,uganda,800900766,44.1,Stub
Rebecca Kadaga,uganda,800965489,44.1,Start
Emma Boona,uganda,801577218,44.1,C
Augustine Nshimye,uganda,801836959,44.1,Start
Ibrahim Ssemujju Nganda,uganda,801874546,44.1,Start
Paulo Muwanga,uganda,802211455,44.1,Start
Christopher Kibanzanga,uganda,802286792,44.1,Start
Ezekiel Tenywa Wako of Busoga,uganda,802517620,44.1,Stub
Robert Kyagulanyi Ssentamu,uganda,802822017,44.1,C
Mariam Najjemba,uganda,802972400,44.1,Start
Bernadette Olowo,uganda,803360897,44.1,Stub
Monica Azuba Ntege,uganda,803417110,44.1,Start
Benna Namugwanya,uganda,804317144,44.1,Start
Dorothy Hyuha,uganda,804643751,44.1,Start
Sam Cheptoris,uganda,804781815,44.1,Start
Betty Oyella Bigombe,uganda,804829931,44.1,C
Muwenda Mutebi II of Buganda,uganda,804856220,44.1,C
Nabilah Naggayi Sempala,uganda,804883827,44.1,Start
Charles Mayiga,uganda,804903944,44.1,Start
Muteesa I of Buganda,uganda,805179937,44.1,Start
Mwanga II of Buganda,uganda,805289323,44.1,C
Idi Amin,uganda,805328243,44.1,B
Irene Muloni,uganda,805393764,44.1,Start
Gershom Sizomu,uganda,805409966,44.1,Start
Specioza Kazibwe,uganda,805435381,44.1,Start
Janet Museveni,uganda,805463795,44.1,C
Evelyn Anite,uganda,805660978,44.1,C
Betty Amongi,uganda,805668648,44.1,Start
Cecilia Ogwal,uganda,805668810,44.1,Start
Doreen Amule,uganda,805678630,44.1,Start
Muhammad Nsereko,uganda,806171535,44.1,Start
Betty Nambooze,uganda,806171836,44.1,Start
Barbara Nekesa Oundo,uganda,806276711,44.1,Start
Oliver Wonekha,uganda,806276835,44.1,Start
Margaret Zziwa,uganda,806337809,44.1,Start
Mutesa II of Buganda,uganda,806741960,44.1,C
Ignatius K. Musaazi,uganda,807146511,44.1,C
Princess Elizabeth Nantale Mulondo,uganda,807467793,44.1,Start
Template:Namibia-politician-stub,namibia,391862409,2.5,Stub
Template:Namibia-mayor-stub,namibia,444756008,2.5,Stub
Karlous Marx Shinohamba,namibia,706945392,2.5,Stub
Dawid Bezuidenhout,namibia,714705477,2.5,Stub
Gabes Shihepo,namibia,714887791,2.5,Start
Themistokles Dudu Murorua,namibia,715035025,2.5,Stub
Johannes Nakwafila,namibia,715168821,2.5,Stub
Kaire Mbuende,namibia,715193056,2.5,Stub
Jhonny Haikella Hakaye,namibia,715558961,2.5,Stub
Rihupisa Justus Kandando,namibia,715716890,2.5,Stub
Sebastian Ignatius ǃGobs,namibia,715737685,2.5,Stub
Hans Booys,namibia,716991969,2.5,Stub
Isak Katali,namibia,717212350,2.5,Stub
Paulus Kapia,namibia,717631584,2.5,Stub
Johannes Isaaks,namibia,717961259,2.5,Stub
Usko Nghaamwa,namibia,719244071,2.5,Stub
Nangolo Ithete,namibia,719408472,2.5,Stub
Solomon Witbooi,namibia,719434480,2.5,Stub
Willem Appollus,namibia,719595059,2.5,Stub
Reggie Diergaardt,namibia,719824825,2.5,Stub
Hadino Hishongwa,namibia,719949040,2.5,Stub
Erastus Tjejamba,namibia,720139575,2.5,Stub
Gottlob Mbaukua,namibia,720139591,2.5,Stub
Ambrosius Haingura,namibia,721140900,2.5,Stub
John Shaetonhodi,namibia,721902067,2.5,Stub
Theofelus Eiseb,namibia,725653685,2.5,Stub
Hilma Nicanor,namibia,725836779,2.5,Stub
Johan de Waal,namibia,726241234,2.5,Start
Leon Jooste,namibia,726241279,2.5,Stub
Eben van Zijl,namibia,726241614,2.5,Start
Kalla Gertze,namibia,726549300,2.5,Stub
Festus Ueitele,namibia,726575925,2.5,Stub
Moses Amweelo,namibia,726634885,2.5,Stub
Paul Smit,namibia,726685653,2.5,Start
Alpheus Muheua,namibia,726826653,2.5,Stub
Tjekero Tweya,namibia,732970610,2.5,Stub
Lawrence Sampofu,namibia,735098018,2.5,Stub
Marten Kapewasha,namibia,736632076,2.5,Stub
Mose Penaani Tjitendero,namibia,737894808,2.5,Stub
Clemens Kashuupulwa,namibia,739326407,2.5,Stub
Muesee Kazapua,namibia,742567576,2.5,Stub
Jan de Wet,namibia,749312888,2.5,Start
Auguste Xoagus,namibia,749384677,2.5,Stub
Arnold Tjihuiko,namibia,749557521,2.5,Stub
Hafeni Ndemula,namibia,750064392,2.5,Stub
Billy Mwaningange,namibia,750168721,2.5,Stub
Thimoteus Tjamuaha,namibia,750423258,2.5,Stub
Ignatius Shixwameni,namibia,756962215,2.5,Stub
